manufacturer,substation_id,window_start,window_end,source_file,configuration_type,season_bucket,label,fault_label,fault_event_id,estimated_lead_time_hours,lead_time_bucket,anomaly_score,anomaly_ensemble_score,iforest_anomaly_score,mahalanobis_score,iforest_score_ratio,mahalanobis_score_ratio,anomaly_consensus_count,strong_anomaly_label,anomaly_criticality,anomaly_event_label,mw_anomaly_1h_iforest_score_ratio,mw_anomaly_1h_mahalanobis_score_ratio,mw_anomaly_1h_score,mw_anomaly_1h_label,mw_anomaly_1h_strong_label,mw_anomaly_1h_criticality,mw_anomaly_1h_event_label,mw_anomaly_3h_iforest_score_ratio,mw_anomaly_3h_mahalanobis_score_ratio,mw_anomaly_3h_score,mw_anomaly_3h_label,mw_anomaly_3h_strong_label,mw_anomaly_3h_criticality,mw_anomaly_3h_event_label,mw_anomaly_6h_iforest_score_ratio,mw_anomaly_6h_mahalanobis_score_ratio,mw_anomaly_6h_score,mw_anomaly_6h_label,mw_anomaly_6h_strong_label,mw_anomaly_6h_criticality,mw_anomaly_6h_event_label,mw_anomaly_12h_iforest_score_ratio,mw_anomaly_12h_mahalanobis_score_ratio,mw_anomaly_12h_score,mw_anomaly_12h_label,mw_anomaly_12h_strong_label,mw_anomaly_12h_criticality,mw_anomaly_12h_event_label,mw_anomaly_multi_window_count,mw_anomaly_short_term_confirmed,mw_anomaly_main_confirmed,mw_anomaly_persistent_confirmed,mw_anomaly_fast_spike,mw_anomaly_operational_confirmed,mw_anomaly_context_score,mw_anomaly_has_raw_data,group_mahalanobis_global_score_ratio,group_mahalanobis_global_label,group_mahalanobis_manufacturer_score_ratio,group_mahalanobis_manufacturer_label,group_mahalanobis_configuration_score_ratio,group_mahalanobis_configuration_label,group_mahalanobis_aux_count,risk_probability,risk_probability_raw,risk_probability_roll4_max,risk_probability_roll8_mean,risk_probability_roll8_max,risk_probability_delta1,risk_temporal_boost,risk_score,risk_watch_label,risk_recent_high_count_48h,risk_recent_watch_count_48h,risk_repeated_high_48h,risk_repeated_watch_48h,risk_high_episode_start,risk_score_24h_max,risk_score_24h_mean,risk_high_count_24h,risk_watch_count_24h,risk_score_3d_max,risk_score_3d_mean,risk_score_3d_slope,risk_high_count_3d,risk_watch_count_3d,risk_episode_start_count_3d,risk_score_7d_max,risk_score_7d_mean,risk_score_7d_slope,risk_high_count_7d,risk_watch_count_7d,risk_episode_start_count_7d,anomaly_criticality_24h_max,anomaly_criticality_3d_max,anomaly_criticality_7d_max,mw_anomaly_confirmed_count_24h,mw_anomaly_confirmed_count_3d,mw_anomaly_confirmed_count_7d,mw_anomaly_persistent_count_3d,mw_anomaly_persistent_count_7d,multi_horizon_persistence_score,risk_level_calibrated,risk_threshold_medium_applied,risk_threshold_high_applied,risk_threshold_critical_applied,predicted_lead_time_bucket,predicted_lead_time_confidence,leadtime_prob_0-24h,leadtime_prob_1-3d,leadtime_prob_3-7d,expected_lead_time_hours,leadtime_near_term_probability,leadtime_within_3d_probability,leadtime_urgency_score,days_since_last_task_event,days_since_last_any_event,risk_base_score,risk_probability_component_score,leadtime_component_score,leadtime_ordinal_component_score,anomaly_component_score,multi_window_anomaly_component_score,risk_episode_component_score,multi_horizon_component_score,history_adjustment_score,history_adjustment_reason,urgency_bonus_score,urgency_bonus_reason,priority_score,priority_level,priority_reason,engine_version
manufacturer 1,31,2020-01-11 00:00:00,2020-01-11 06:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45.0,57.8,1-3d,280.3839195297156,280.3839195297156,0.4959395505552386,184736.98140887063,0.925642999948078,528.2054100372452,1,0,2,0,0.8396892483160495,735.5299083082052,390.22550535005735,1,0,2,0,0.8906452949643419,462.4718026176818,245.52865867600465,1,0,2,0,0.925642999948078,528.2054100372452,280.3839195297156,1,0,2,0,0.8841359847608011,418.2568184682128,222.0916577009904,1,0,2,0,4,1,1,1,1,1,10.0,1,528.2054100372395,1,647.5853115143624,1,843.6430608299273,1,2,0.9891799633796718,0.9891799633796718,0.9930846547823914,0.9911323090810316,0.9930846547823914,-0.0039046914027195,0.0108200366203281,1.0,1,2,2,1,0,0,1.0,1.0,2.0,2.0,1.0,1.0,-1.1102230246251563e-16,2.0,2.0,1.0,1.0,1.0,-1.1102230246251563e-16,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.49047619047619,critical,0.22,0.92,0.92,1-3d,0.9959825376459442,0.0030363993688231,0.9959825376459442,0.0009810629852325,47.96132615765911,0.0030363993688231,0.9990189370147674,0.6670247577994527,301.0,301.0,38.0,18.0,7.5,2.001074273398358,17.2,12.0,8.086560292962625,13.49047619047619,0.0,,6.0,,100.0,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent,best_priority_engine_v1
manufacturer 1,29,2020-03-06 12:00:00,2020-03-06 18:00:00,substation_29.csv,SH + DHW with sub-circuits,spring,pre_fault,Failure of the domestic hot water storage charging pump,15.0,13.995277777777778,6-24h,240.85924165997795,240.85924165997795,0.5000658919577009,158652.43800204236,0.9333445817846322,453.6237164274324,1,0,1,0,0.818001655542842,2.225223126805433,1.5638290353120154,1,0,1,0,0.8376462708199508,2.67990258652926,1.8140421181458848,1,0,1,0,0.9333445817846322,453.6237164274324,240.85924165997795,1,0,1,0,0.912709644548113,277.23958647255165,147.36595436339,1,0,1,0,4,1,1,1,1,1,10.0,1,453.6237164274256,1,554.8674548169583,1,936.7199493534648,1,2,0.9781197166451792,0.9781197166451792,0.9781197166451792,0.9781197166451792,0.9781197166451792,0.0,0.0218802833548208,1.0,1,1,1,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.745238095238095,critical,0.22,0.92,0.92,0-24h,0.4623933796673309,0.4623933796673309,0.4023290157178911,0.1352776046147778,41.09382586424009,0.4623933796673309,0.8647223953852221,0.7306127234792584,171.76349537037038,171.76349537037038,38.0,18.0,8.1,2.191838170437775,16.6,12.0,1.6750422668385665,6.745238095238095,0.0,,6.0,,100.0,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=1|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent,best_priority_engine_v1
manufacturer 1,31,2020-01-11 06:00:00,2020-01-11 12:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45.0,51.8,1-3d,210.6048724049644,210.6048724049644,0.491458482171881,138692.70029236664,0.91727934035146,396.5542473867909,1,0,3,0,0.758206799131556,0.085813327387209,0.401838259107052,0,0,1,0,0.7280458608175063,0.1812594649379409,0.4382490710013366,0,0,1,0,0.91727934035146,396.5542473867909,210.6048724049644,1,0,3,0,0.8979778060742656,437.9193409808372,232.51930028869864,1,0,3,0,2,0,0,1,0,1,10.0,1,396.5542473867855,1,473.8941401481901,1,629.725800995888,1,2,0.993160785835317,0.993160785835317,0.993160785835317,0.9918084679991268,0.993160785835317,0.0039808224556451,0.006839214164683,1.0,1,3,3,1,1,0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14.235714285714286,critical,0.22,0.92,0.92,1-3d,0.9908621499725548,0.0077908943556144,0.9908621499725548,0.0013469556718308,47.8165086115697,0.0077908943556144,0.9986530443281691,0.6683656610039843,301.0,301.0,38.0,18.0,7.5,2.0050969830119527,17.8,10.6,9.554713713317463,16.0,0.0,,6.0,,100.0,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent,best_priority_engine_v1
manufacturer 1,31,2020-01-13 06:00:00,2020-01-13 12:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45.0,3.8,0-6h,147.89466652431818,147.89466652431818,0.4867470256993327,97313.24865664176,0.9084856744732462,278.2409023722939,1,0,7,1,0.8875482168676875,360.6141440261426,191.5426439957834,1,0,3,0,0.910721883934866,480.643205736482,255.1689383257849,1,0,3,0,0.9084856744732462,278.2409023722939,147.89466652431818,1,0,7,1,0.8668390182533451,300.22835653942326,159.5284433044734,1,0,11,1,4,1,1,1,1,1,10.0,1,278.24090237229126,1,320.7840080233523,1,361.61785411755193,1,2,0.9924673410542336,0.9924673410542336,0.9925652314740164,0.9894780309201332,0.9930462638265048,-9.789041978292e-05,0.0075326589457664,1.0,1,8,8,1,1,0,1.0,1.0,4.0,4.0,1.0,1.0,1.1316440927391937e-17,11.0,11.0,1.0,1.0,1.0,1.1316440927391937e-17,11.0,11.0,1.0,7.0,7.0,7.0,3.0,9.0,9.0,9.0,9.0,18.0,critical,0.22,0.92,0.92,0-24h,0.9921383255612506,0.9921383255612506,0.007466268393218,0.0003954060455312,12.311489515073228,0.9921383255612506,0.9996045939544688,0.997115837823396,301.0,301.0,38.0,18.0,13.5,2.991347513470188,19.0,12.0,9.560261271566132,18.0,0.0,,5.0,high_risk_near_leadtime_criticality,100.0,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=1|criticality|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|risk_3d_increasing|leadtime_near_term_prob_high|high_risk_near_leadtime_criticality,best_priority_engine_v1
manufacturer 1,31,2020-01-12 00:00:00,2020-01-12 06:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45.0,33.8,1-3d,144.1533263499837,144.1533263499837,0.5046906848540882,94833.96812363208,0.9419764950207468,271.15207056098853,1,0,4,0,0.9577936042113374,359.5378158140993,191.005205375452,1,0,1,0,0.9201898313618688,319.4832687140036,169.758621639162,1,0,2,0,0.9419764950207468,271.15207056098853,144.1533263499837,1,0,4,0,0.8595899850425386,230.22092101799933,122.42109543250965,1,0,6,1,4,1,1,1,1,1,10.0,1,271.1520705609859,1,316.74899128965654,1,355.53450298712863,1,2,0.9930462638265048,0.9930462638265048,0.993160785835317,0.9891535979686188,0.993160785835317,0.0040306071721195,0.0069537361734951,1.0,1,6,6,1,1,0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,6.0,6.0,1.0,1.0,1.0,0.0,6.0,6.0,1.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,18.0,critical,0.22,0.92,0.92,1-3d,0.9430396879764344,0.0544488840754345,0.9430396879764344,0.002511427948131,46.220662985549794,0.0544488840754345,0.9974885720518688,0.6831420093930575,301.0,301.0,38.0,18.0,7.5,2.0494260281791723,18.4,12.0,9.55562988938796,18.0,0.0,,6.0,,100.0,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent,best_priority_engine_v1
manufacturer 1,31,2020-01-13 00:00:00,2020-01-13 06:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45.0,9.8,6-24h,142.32535299908653,142.32535299908653,0.4950066710622633,93633.30271392848,0.9239018333653746,267.71909271208455,1,0,6,1,0.9339751240205876,3.362979183069883,2.221347275316714,1,0,2,0,0.9400896865339556,416.06462963998695,220.95609586186407,1,0,2,0,0.9239018333653746,267.71909271208455,142.32535299908653,1,0,6,1,0.8664773644661176,207.6751876828772,110.475093833224,1,0,10,1,4,1,1,1,1,1,10.0,1,267.7190927120821,1,307.8218448138888,1,350.16398163679304,1,2,0.9925652314740164,0.9925652314740164,0.9926458091308276,0.9895647115177688,0.993160785835317,0.0057976421089147,0.0074347685259835,1.0,1,8,8,1,1,0,1.0,1.0,4.0,4.0,1.0,1.0,-2.630557450796067e-17,10.0,10.0,1.0,1.0,1.0,-2.630557450796067e-17,10.0,10.0,1.0,6.0,6.0,6.0,3.0,8.0,8.0,8.0,8.0,18.0,critical,0.22,0.92,0.92,0-24h,0.9946209708818496,0.9946209708818496,0.005114623988836,0.0002644051293143,12.212682217564046,0.9946209708818496,0.9997355948706856,0.9980307202077404,301.0,301.0,38.0,18.0,13.5,2.994092160623221,19.0,12.0,9.559478148207868,18.0,0.0,,5.0,high_risk_near_leadtime_criticality,100.0,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=1|criticality|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|leadtime_near_term_prob_high|high_risk_near_leadtime_criticality,best_priority_engine_v1
manufacturer 1,31,2020-01-11 18:00:00,2020-01-12 00:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45.0,39.8,1-3d,99.08423985635903,99.08423985635903,0.4956164411679112,65098.33628079943,0.9250399346304152,186.13107752279765,1,0,3,0,0.7481268484455981,0.1175323262107688,0.4139117516611386,0,0,0,0,0.8842015121368139,258.6423904393545,137.4960416435622,1,0,1,0,0.9250399346304152,186.13107752279765,99.08423985635903,1,0,3,0,0.8377005097100084,77.34628148659111,41.38724842745699,1,0,5,1,3,0,1,1,0,1,10.0,1,186.1310775227961,1,226.2057470329448,1,312.27864909431656,1,2,0.9890156566543852,0.9890156566543852,0.993160785835317,0.9883750647970414,0.993160785835317,0.0115813933209435,0.0109843433456147,1.0,1,5,5,1,1,0,1.0,1.0,4.0,4.0,1.0,1.0,-4.0539612963254127e-17,5.0,5.0,1.0,1.0,1.0,-4.0539612963254127e-17,5.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,17.476190476190478,critical,0.22,0.92,0.92,1-3d,0.986543349583214,0.0125608352983839,0.986543349583214,0.000895815118402,47.61230861778313,0.0125608352983839,0.999104184881598,0.6702564016871932,301.0,301.0,38.0,18.0,7.5,2.01076920506158,17.8,12.0,9.587874746764918,18.0,0.0,,6.0,,100.0,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent,best_priority_engine_v1
manufacturer 1,31,2020-01-12 06:00:00,2020-01-12 12:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45.0,27.8,1-3d,88.67733664649552,88.67733664649552,0.4982758179993878,58229.32883476298,0.9300035104241272,166.49100942753998,1,0,5,1,0.7561281375799355,0.131510110478077,0.4250805832159505,0,0,0,0,0.7549161946712096,0.2577752562803646,0.4914314973240618,0,0,1,0,0.9300035104241272,166.49100942753998,88.67733664649552,1,0,5,1,0.868597631514237,207.35282567196745,110.30523849295446,1,0,7,1,2,0,0,1,0,1,10.0,1,166.4910094275386,1,208.6193475308972,1,336.8829807741624,1,2,0.9926458091308276,0.9926458091308276,0.9930462638265048,0.9896524852775056,0.993160785835317,-0.0004004546956772,0.0073541908691724,1.0,1,7,7,1,1,0,1.0,1.0,4.0,4.0,1.0,1.0,-2.327659924188193e-17,7.0,7.0,1.0,1.0,1.0,-2.327659924188193e-17,7.0,7.0,1.0,5.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,18.0,critical,0.22,0.92,0.92,1-3d,0.9787188838111364,0.0205410740716528,0.9787188838111364,0.0007400421172107,47.31380436585968,0.0205410740716528,0.9992599578827892,0.6730203299457438,301.0,301.0,38.0,18.0,7.5,2.019060989837232,19.0,10.6,9.55883352695338,18.0,0.0,,5.0,high_risk_near_leadtime_criticality,100.0,urgent,risk=critical|leadtime=1-3d|anomaly_consensus=1|criticality|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|high_risk_near_leadtime_criticality,best_priority_engine_v1
manufacturer 1,31,2020-01-12 18:00:00,2020-01-13 00:00:00,substation_31.csv,SH + DHW,winter,pre_fault,"Heat exchanger: Leakage, external",45.0,15.8,6-24h,88.24216991435156,88.24216991435156,0.474993900827923,57955.64170386046,0.8865491345208346,165.70847513420145,1,0,5,1,0.8803986642132484,285.80988050289983,151.89302403871713,1,0,1,0,0.8438270278035873,176.0582104532573,93.70745024329403,1,0,1,0,0.8865491345208346,165.70847513420145,88.24216991435156,1,0,5,1,0.8274083072324637,46.71275644869728,25.14664282220882,1,0,9,1,4,1,1,1,1,1,10.0,1,165.70847513420003,1,206.0826032575117,1,335.2428186435555,1,2,0.9867675893651016,0.9867675893651016,0.9930462638265048,0.9891415530059756,0.993160785835317,-0.0051145031574538,0.0132324106348983,1.0,1,8,8,1,1,0,1.0,1.0,4.0,4.0,1.0,1.0,6.218492760847781e-17,9.0,9.0,1.0,1.0,1.0,6.218492760847781e-17,9.0,9.0,1.0,5.0,5.0,5.0,3.0,7.0,7.0,7.0,7.0,18.0,critical,0.22,0.92,0.92,0-24h,0.9768631817369176,0.9768631817369176,0.0227204773691289,0.0004163408939534,12.862902001835618,0.9768631817369176,0.9995836591060464,0.9920101666496702,301.0,301.0,38.0,18.0,13.5,2.976030499949011,19.0,12.0,9.605859285079186,18.0,0.0,,5.0,high_risk_near_leadtime_criticality,100.0,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=1|criticality|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|risk_3d_increasing|leadtime_near_term_prob_high|high_risk_near_leadtime_criticality,best_priority_engine_v1
manufacturer 1,30,2020-03-15 06:00:00,2020-03-15 12:00:00,substation_30.csv,SH + DHW,spring,pre_fault,Leakage,10.0,27.066666666666663,1-3d,19.466156203330897,19.466156203330897,0.5594993401714219,12521.745347932554,1.0442737368403547,35.80254254153949,2,1,11,1,0.9505208886657824,12.758594967116546,7.208800150244687,1,0,11,1,0.9770265256452924,22.398933507175148,12.330637225856115,1,0,11,1,1.0442737368403547,35.80254254153949,19.466156203330897,1,1,11,1,0.9780494709699884,55.78685581533157,30.02671683348163,1,0,11,1,4,1,1,1,1,1,10.0,1,35.8025425415391,1,72.22787014623917,1,121.35191958615891,1,2,0.9494821014071176,0.9494821014071176,0.9628986365146096,0.9543104246451076,0.9628986365146096,-0.001571646163529,0.0505178985928823,1.0,1,8,8,1,1,0,1.0,0.9998389113288408,4.0,4.0,1.0,0.9941809537958404,0.002271670178691,11.0,11.0,1.0,1.0,0.9941809537958404,0.002271670178691,11.0,11.0,1.0,11.0,11.0,11.0,4.0,11.0,11.0,11.0,11.0,18.0,critical,0.22,0.92,0.92,0-24h,0.928918169241237,0.928918169241237,0.0664101682418597,0.0046716625169031,14.895305608532489,0.928918169241237,0.9953283374830968,0.9731916147358104,69.19394675925926,69.19394675925926,38.0,18.0,13.5,2.919574844207431,21.0,12.0,9.904143188743058,18.0,0.0,,8.0,high_risk_0_24h_strong_anomaly,100.0,urgent,risk=critical|leadtime=0-24h|anomaly_consensus=2|criticality|mw_1h_3h_confirmed|mw_3h_6h_confirmed|mw_6h_12h_persistent|repeated_high_48h|risk_24h_persistent|risk_3d_persistent|risk_3d_increasing|leadtime_near_term_prob_high|high_risk_0_24h_strong_anomaly,best_priority_engine_v1
